CODE,RSM361H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,24
1657659549,24
1657678570,24
1657700365,24
1657734871,24
1657736010,24
1657737663,24
1657744779,24
1657780708,24
1657815709,24
1657827433,24
1657841414,24
1657851506,24
1657853745,24
1657868013,24
1657911016,58
1657914736,58
1657938194,58
1657991875,56
1658011950,56
1658085371,56
1658086263,56
1658101142,56
1658101460,56
1658117879,56
1658120793,56
1658149259,57
1658163599,57
1658192570,57
1658255570,60
1658255771,60
1658265950,60
1658282790,60
1658284116,60
1658341001,60
1658425295,59
1658438086,59
1658446145,59
1658446771,59
1658459993,59
1658514122,59
1658536177,59
1658552496,59
1658614184,59
1658631640,59
1658698072,58
1658768579,58
1658788810,58
1658856123,59
1658878855,59
1658879061,59
1658965224,59
1659041771,59
1659049567,59
1659055044,59
1659106101,59
1659116089,59
1659126296,59
1659137072,59
1659154611,59
1659160554,59
1659197509,60
1659228141,60
1659229848,60
1659252431,60
1659298084,60
