CODE,CRE282H1-F-20229-LEC-0101
CAP,20
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,12
1657659549,12
1657678570,12
1657700365,12
1657734871,13
1657736010,13
1657737663,13
1657744779,13
1657780708,13
1657815709,13
1657827433,13
1657841414,13
1657851506,13
1657853745,13
1657868013,13
1657911016,20
1657914736,20
1657938194,20
1657991875,20
1658011950,20
1658085371,20
1658086263,20
1658101142,20
1658101460,20
1658117879,20
1658120793,20
1658149259,20
1658163599,20
1658192570,20
1658255570,23
1658255771,23
1658265950,23
1658282790,23
1658284116,23
1658341001,23
1658425295,22
1658438086,22
1658446145,22
1658446771,22
1658459993,22
1658514122,23
1658536177,23
1658552496,23
1658614184,24
1658631640,24
1658698072,24
1658768579,24
1658788810,24
1658856123,24
1658878855,24
1658879061,24
