CODE,ENV421Y1-Y-20229-LEC-0101
CAP,40
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,11
1657659552,11
1657678573,11
1657700368,11
1657734875,11
1657736016,11
1657737668,11
1657744785,11
1657780710,11
1657815712,11
1657827436,11
1657841417,11
1657851515,11
1657853748,11
1657868016,11
1657911019,17
1657914739,17
1657938197,17
1657991877,17
1658011954,17
1658085375,17
1658086268,17
1658101144,17
1658101464,17
1658117882,17
1658120797,17
1658149266,17
1658163601,17
1658192573,17
1658255573,16
1658255774,16
1658265957,16
1658282792,16
1658284123,16
1658341004,16
1658425299,16
1658438090,16
1658446148,16
1658446775,16
1658459996,16
1658514124,17
1658536180,17
1658552499,17
1658614187,17
1658631643,17
1658698075,17
1658768582,17
1658788813,17
1658856126,17
1658878858,17
1658879064,17
1658965226,17
1659041774,17
1659049569,17
1659055046,17
1659106104,17
1659116092,17
1659126300,17
1659137075,17
1659154614,17
1659160556,17
1659197512,18
1659228143,18
1659229850,18
1659252433,18
1659298086,18
