CODE,BIO220H1-S-20229-LEC-0101
CAP,1104
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,17
1657659562,17
1657678580,17
1657700377,17
1657734892,17
1657736031,17
1657737680,17
1657744796,17
1657780717,17
1657815723,17
1657827444,17
1657841424,17
1657851524,17
1657853756,17
1657868023,17
1657911025,52
1657914749,52
1657938204,52
1657991885,54
1658011963,54
1658085387,54
1658086283,54
1658101152,54
1658101473,54
1658117893,54
1658120808,54
1658149282,54
1658163609,54
1658192584,54
1658255580,393
1658255781,393
1658265969,393
1658282799,393
1658284132,393
1658341011,396
1658425310,400
1658438101,400
1658446157,400
1658446785,400
1658460004,400
1658514131,415
1658536189,415
1658552506,415
1658614194,416
1658631652,416
1658698082,417
1658768591,420
1658788819,420
1658856132,422
1658878866,422
1658879072,422
1658965232,424
1659041782,425
1659049575,425
1659055055,425
1659106110,422
1659116097,422
1659126308,422
1659137081,422
1659154622,422
1659160562,422
1659197518,1140
1659228149,1140
1659229856,1140
1659252439,1140
1659298092,1156
