CODE,CAS310H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,8
1657659549,8
1657678570,8
1657700365,8
1657734871,11
1657736010,11
1657737663,11
1657744779,11
1657780708,11
1657815709,11
1657827433,11
1657841414,11
1657851506,11
1657853745,11
1657868013,11
1657911016,21
1657914736,21
1657938194,21
1657991875,21
1658011950,21
1658085371,21
1658086263,21
1658101142,21
1658101460,21
1658117879,21
1658120793,21
1658149259,21
1658163599,21
1658192570,21
1658255570,23
1658255771,23
1658265950,23
1658282790,23
1658284116,23
1658341001,23
1658425295,23
1658438086,23
1658446145,23
1658446771,23
1658459993,23
1658514122,24
