CODE,FRE304H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,7
1657659549,7
1657678570,7
1657700365,7
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,16
1657914736,16
1657938194,16
1657991875,16
1658011950,16
1658085371,16
1658086263,16
1658101142,16
1658101460,16
1658117879,16
1658120793,16
1658149259,16
1658163599,16
1658192570,16
1658255570,19
1658255771,19
1658265950,19
1658282790,19
1658284116,19
1658341001,19
1658425295,19
1658438086,19
1658446145,19
1658446771,19
1658459993,19
1658514122,18
1658536177,18
1658552496,18
1658614184,18
1658631640,18
1658698072,18
1658768579,18
1658788810,18
1658856123,18
1658878855,18
1658879061,18
1658965224,18
1659041771,18
1659049567,18
1659055044,18
1659106101,18
1659116089,18
1659126296,18
1659137072,18
1659154611,18
1659160554,18
1659197509,17
1659228141,17
1659229848,17
1659252431,17
1659298084,19
