CODE,RSM459H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,55
1657659562,55
1657678580,55
1657700377,55
1657734892,54
1657736031,54
1657737680,54
1657744796,54
1657780717,54
1657815723,55
1657827444,55
1657841424,55
1657851524,55
1657853756,55
1657868023,55
1657911025,65
1657914749,65
1657938204,65
1657991885,65
1658011963,65
1658085387,65
1658086283,65
1658101152,65
1658101473,65
1658117893,65
1658120808,65
1658149282,65
1658163609,65
1658192584,65
1658255580,65
1658255781,65
1658265969,65
1658282799,65
1658284132,65
1658341011,65
1658425310,65
1658438101,65
1658446157,65
1658446785,65
1658460004,65
1658514131,65
1658536189,65
1658552506,65
1658614194,65
1658631652,65
1658698082,65
1658768591,65
1658788819,65
1658856132,65
1658878866,65
1658879072,65
1658965232,65
1659041782,65
1659049575,65
1659055055,65
1659106110,65
1659116097,65
1659126308,65
1659137081,65
1659154622,65
1659160562,65
1659197518,65
1659228149,65
1659229856,65
1659252439,65
1659298092,65
