CODE,HIS393H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,16
1657659562,16
1657678580,16
1657700377,16
1657734892,17
1657736031,17
1657737680,17
1657744796,17
1657780717,17
1657815723,18
1657827444,18
1657841424,18
1657851524,18
1657853756,18
1657868023,18
1657911025,50
1657914749,50
1657938204,50
1657991885,50
1658011963,50
1658085387,50
1658086283,50
1658101152,50
1658101473,50
1658117893,50
1658120808,50
1658149282,50
1658163609,50
1658192584,50
1658255580,-2
1658255781,-2
1658265969,-2
1658282799,-2
1658284132,-2
1658341011,-2
1658425310,-2
1658438101,-2
1658446157,-2
1658446785,-2
1658460004,-2
1658514131,-2
