CODE,PSY440H1-F-20229-LEC-0101
CAP,20
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,18
1657560897,18
1657592482,18
1657598158,18
1657657520,35
1657659549,35
1657678570,35
1657700365,35
1657734871,35
1657736010,35
1657737663,35
1657744779,35
1657780708,35
1657815709,35
1657827433,35
1657841414,35
1657851506,35
1657853745,35
1657868013,35
1657911016,38
1657914736,38
1657938194,38
1657991875,38
1658011950,38
1658085371,38
1658086263,38
1658101142,38
1658101460,38
1658117879,38
1658120793,38
1658149259,38
1658163599,38
1658192570,38
1658255570,38
1658255771,38
1658265950,38
1658282790,38
1658284116,38
1658341001,37
1658425295,37
1658438086,37
1658446145,37
1658446771,37
1658459993,37
1658514122,38
1658536177,38
1658552496,38
1658614184,38
1658631640,38
1658698072,38
1658768579,38
1658788810,38
1658856123,38
1658878855,38
1658879061,38
1658965224,38
1659041771,37
1659049567,37
1659055044,37
