CODE,NMC469Y1-Y-20229-LEC-0101
CAP,25
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,4
1657659552,4
1657678573,4
1657700368,4
1657734875,4
1657736016,4
1657737668,4
1657744785,4
1657780710,4
1657815712,4
1657827436,4
1657841417,4
1657851515,4
1657853748,4
1657868016,4
1657911019,5
1657914739,5
1657938197,5
1657991877,5
1658011954,5
1658085375,5
1658086268,5
1658101144,5
1658101464,5
1658117882,5
1658120797,5
1658149266,6
1658163601,6
1658192573,6
1658255573,6
1658255774,6
1658265957,6
1658282792,6
1658284123,6
1658341004,6
1658425299,7
1658438090,7
1658446148,7
1658446775,7
1658459996,7
1658514124,7
