CODE,URB236H1-S-20229-LEC-0101
CAP,120
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,13
1657659562,13
1657678580,13
1657700377,13
1657734892,13
1657736031,13
1657737680,13
1657744796,13
1657780717,13
1657815723,13
1657827444,13
1657841424,13
1657851524,13
1657853756,13
1657868023,13
1657911025,39
1657914749,39
1657938204,39
1657991885,42
1658011963,42
1658085387,43
1658086283,43
1658101152,43
1658101473,43
1658117893,43
1658120808,43
1658149282,43
1658163609,43
1658192584,43
1658255580,99
1658255781,99
1658265969,99
1658282799,99
1658284132,99
1658341011,101
1658425310,101
1658438101,101
1658446157,101
1658446785,101
1658460004,101
1658514131,104
1658536189,104
1658552506,104
1658614194,105
1658631652,105
1658698082,105
1658768591,105
1658788819,105
1658856132,105
1658878866,105
1658879072,105
1658965232,105
1659041782,106
1659049575,106
1659055055,106
1659106110,106
1659116097,106
1659126308,106
1659137081,106
1659154622,106
1659160562,106
1659197518,109
1659228149,109
1659229856,109
1659252439,109
1659298092,108
