CODE,POL386H1-S-20229-LEC-0101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,13
1657659562,13
1657678580,13
1657700377,13
1657734892,13
1657736031,13
1657737680,13
1657744796,13
1657780717,13
1657815723,13
1657827444,13
1657841424,13
1657851524,13
1657853756,13
1657868023,13
1657911025,53
1657914749,53
1657938204,53
1657991885,52
1658011963,52
1658085387,52
1658086283,52
1658101152,52
1658101473,52
1658117893,52
1658120808,52
1658149282,53
1658163609,53
1658192584,53
1658255580,63
1658255781,63
1658265969,63
1658282799,63
1658284132,63
1658341011,65
1658425310,65
1658438101,65
1658446157,65
1658446785,65
1658460004,65
1658514131,67
1658536189,67
1658552506,67
1658614194,67
1658631652,67
1658698082,67
1658768591,67
1658788819,67
1658856132,68
1658878866,68
1658879072,68
