CODE,CRE279H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,3
1657659562,3
1657678580,3
1657700377,3
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,3
1657827444,3
1657841424,3
1657851524,3
1657853756,3
1657868023,3
1657911025,7
1657914749,7
1657938204,7
1657991885,7
1658011963,7
1658085387,7
1658086283,7
1658101152,7
1658101473,7
1658117893,7
1658120808,7
1658149282,7
1658163609,7
1658192584,7
1658255580,17
1658255781,17
1658265969,17
1658282799,17
1658284132,17
1658341011,16
1658425310,16
1658438101,16
1658446157,16
1658446785,16
1658460004,16
1658514131,17
1658536189,17
1658552506,17
1658614194,17
1658631652,17
1658698082,17
1658768591,18
1658788819,18
1658856132,18
1658878866,18
1658879072,18
1658965232,18
1659041782,18
1659049575,18
1659055055,18
1659106110,18
1659116097,18
1659126308,18
1659137081,18
1659154622,18
1659160562,18
1659197518,38
1659228149,38
1659229856,38
1659252439,38
1659298092,39
