CODE,PHL378H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,35
1657659549,35
1657678570,35
1657700365,35
1657734871,36
1657736010,36
1657737663,36
1657744779,36
1657780708,36
1657815709,38
1657827433,38
1657841414,38
1657851506,38
1657853745,38
1657868013,38
1657911016,54
1657914736,54
1657938194,54
1657991875,54
1658011950,54
1658085371,54
1658086263,54
1658101142,54
1658101460,54
1658117879,54
1658120793,54
1658149259,54
1658163599,54
1658192570,54
1658255570,55
1658255771,55
1658265950,55
1658282790,55
1658284116,55
1658341001,54
1658425295,54
1658438086,54
1658446145,54
1658446771,54
1658459993,54
1658514122,54
1658536177,54
1658552496,54
1658614184,53
1658631640,53
1658698072,53
1658768579,53
1658788810,53
1658856123,53
1658878855,53
1658879061,53
1658965224,53
1659041771,53
1659049567,53
1659055044,53
1659106101,53
1659116089,53
1659126296,53
1659137072,53
1659154611,53
1659160554,53
1659197509,57
1659228141,57
1659229848,57
1659252431,57
1659298084,57
