CODE,CRI380H1-S-20229-LEC-0101
CAP,100
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,36
1657659562,36
1657678580,36
1657700377,36
1657734892,37
1657736031,37
1657737680,37
1657744796,37
1657780717,37
1657815723,37
1657827444,37
1657841424,37
1657851524,37
1657853756,37
1657868023,37
1657911025,97
1657914749,97
1657938204,97
1657991885,98
1658011963,98
1658085387,98
1658086283,98
1658101152,98
1658101473,98
1658117893,98
1658120808,98
1658149282,98
1658163609,98
1658192584,98
1658255580,110
1658255781,110
1658265969,110
1658282799,110
1658284132,110
1658341011,112
1658425310,111
1658438101,111
1658446157,111
1658446785,111
1658460004,111
1658514131,111
1658536189,111
1658552506,111
1658614194,111
1658631652,111
1658698082,111
1658768591,111
1658788819,111
1658856132,111
1658878866,111
1658879072,111
1658965232,111
1659041782,111
1659049575,111
1659055055,111
1659106110,111
1659116097,111
1659126308,111
1659137081,111
1659154622,111
1659160562,111
1659197518,110
1659228149,110
1659229856,110
1659252439,110
1659298092,110
