CODE,PSY435H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,38
1657659562,38
1657678580,38
1657700377,38
1657734892,37
1657736031,37
1657737680,37
1657744796,37
1657780717,37
1657815723,38
1657827444,38
1657841424,38
1657851524,38
1657853756,38
1657868023,38
1657911025,53
1657914749,53
1657938204,53
1657991885,53
1658011963,53
1658085387,54
1658086283,54
1658101152,54
1658101473,54
1658117893,54
1658120808,54
1658149282,54
1658163609,54
1658192584,54
1658255580,57
1658255781,57
1658265969,57
1658282799,57
1658284132,57
1658341011,58
1658425310,58
1658438101,58
1658446157,58
1658446785,58
1658460004,58
1658514131,58
