CODE,PSY396H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,21
1657659562,21
1657678580,21
1657700377,21
1657734892,21
1657736031,21
1657737680,21
1657744796,21
1657780717,21
1657815723,21
1657827444,21
1657841424,21
1657851524,21
1657853756,21
1657868023,21
1657911025,60
1657914749,60
1657938204,60
1657991885,60
1658011963,60
1658085387,60
1658086283,60
1658101152,60
1658101473,60
1658117893,60
1658120808,60
1658149282,60
1658163609,60
1658192584,60
1658255580,62
1658255781,62
1658265969,62
1658282799,62
1658284132,62
1658341011,62
1658425310,62
1658438101,62
1658446157,62
1658446785,62
1658460004,62
1658514131,62
1658536189,62
1658552506,62
1658614194,62
1658631652,62
1658698082,62
1658768591,62
1658788819,62
1658856132,62
1658878866,62
1658879072,62
1658965232,62
1659041782,62
1659049575,62
1659055055,62
1659106110,61
1659116097,61
1659126308,61
1659137081,61
1659154622,61
1659160562,61
1659197518,72
1659228149,72
1659229856,72
1659252439,72
1659298092,72
