CODE,PHL370H1-F-20229-LEC-5101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,24
1657659549,24
1657678570,24
1657700365,24
1657734871,27
1657736010,27
1657737663,27
1657744779,27
1657780708,27
1657815709,27
1657827433,27
1657841414,27
1657851506,27
1657853745,27
1657868013,27
1657911016,53
1657914736,53
1657938194,53
1657991875,56
1658011950,56
1658085371,56
1658086263,56
1658101142,56
1658101460,56
1658117879,56
1658120793,56
1658149259,56
1658163599,56
1658192570,56
1658255570,62
1658255771,62
1658265950,62
1658282790,62
1658284116,62
1658341001,63
1658425295,64
1658438086,64
1658446145,64
1658446771,64
1658459993,64
1658514122,64
