CODE,PSY323H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,23
1657659562,23
1657678580,23
1657700377,23
1657734892,24
1657736031,24
1657737680,24
1657744796,24
1657780717,24
1657815723,24
1657827444,24
1657841424,24
1657851524,24
1657853756,24
1657868023,24
1657911025,69
1657914749,69
1657938204,69
1657991885,68
1658011963,68
1658085387,68
1658086283,68
1658101152,68
1658101473,68
1658117893,68
1658120808,68
1658149282,69
1658163609,69
1658192584,69
1658255580,72
1658255781,72
1658265969,72
1658282799,72
1658284132,72
1658341011,72
1658425310,71
1658438101,71
1658446157,71
1658446785,71
1658460004,71
1658514131,72
1658536189,72
1658552506,72
1658614194,72
1658631652,72
1658698082,72
1658768591,72
1658788819,72
1658856132,72
1658878866,72
1658879072,72
1658965232,72
1659041782,70
1659049575,70
1659055055,70
