CODE,PSY370H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,44
1657659549,44
1657678570,44
1657700365,44
1657734871,44
1657736010,44
1657737663,44
1657744779,44
1657780708,44
1657815709,43
1657827433,43
1657841414,43
1657851506,43
1657853745,43
1657868013,43
1657911016,78
1657914736,78
1657938194,78
1657991875,78
1658011950,78
1658085371,78
1658086263,78
1658101142,78
1658101460,78
1658117879,78
1658120793,78
1658149259,78
1658163599,78
1658192570,78
1658255570,82
1658255771,82
1658265950,82
1658282790,82
1658284116,82
1658341001,82
1658425295,82
1658438086,82
1658446145,82
1658446771,82
1658459993,82
1658514122,82
1658536177,82
1658552496,82
1658614184,82
1658631640,82
1658698072,83
1658768579,83
1658788810,83
1658856123,83
1658878855,83
1658879061,83
1658965224,84
1659041771,84
1659049567,84
1659055044,84
