CODE,POL413H1-F-20229-LEC-0101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,13
1657560897,13
1657592482,13
1657598158,13
1657657520,26
1657659549,26
1657678570,26
1657700365,26
1657734871,26
1657736010,26
1657737663,26
1657744779,26
1657780708,26
1657815709,26
1657827433,26
1657841414,26
1657851506,26
1657853745,26
1657868013,26
1657911016,26
1657914736,26
1657938194,26
1657991875,26
1658011950,26
1658085371,26
1658086263,26
1658101142,26
1658101460,26
1658117879,26
1658120793,26
1658149259,26
1658163599,26
1658192570,26
1658255570,25
1658255771,25
1658265950,25
1658282790,25
1658284116,25
1658341001,25
1658425295,25
1658438086,25
1658446145,25
1658446771,25
1658459993,25
1658514122,25
1658536177,25
1658552496,25
1658614184,25
1658631640,25
1658698072,25
1658768579,25
1658788810,25
1658856123,25
1658878855,25
1658879061,25
1658965224,25
1659041771,25
1659049567,25
1659055044,25
1659106101,25
1659116089,25
1659126296,25
1659137072,25
1659154611,25
1659160554,25
1659197509,32
1659228141,32
1659229848,32
1659252431,32
1659298084,32
